Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2021,B000,2021-02-01 20:44:48,Bought BCH 0.01531969 for ZAR 100.00,Buy,385e07fc,0.01531969,6527.55,100.00,0.00,0.00,0.00,0.01531969,100.00
2022,B001,2021-05-17 05:56:50,Bought 0.20 BCH/BTC @ 0.02406,Buy,4ce655d0,0.20000000,15116.14,3023.23,0.00,0.00,0.00,0.21531969,3123.23
2022,,2021-05-17 05:56:50,Fee for ,Fee,,,,,,,3.02,0.21531969,3123.23
2022,B002,2021-05-17 06:26:13,Bought 0.05 BCH/BTC @ 0.024356,Buy,219e7348,0.05000000,16177.76,808.89,0.00,0.00,0.00,0.26531969,3932.12
2022,,2021-05-17 06:26:13,Fee for ,Fee,,,,,,,0.80,0.26531969,3932.12
2022,B003,2021-05-17 06:26:13,Bought 0.09 BCH/BTC @ 0.024357,Buy,79b0988e,0.09000000,16177.76,1456.00,0.00,0.00,0.00,0.35531969,5388.11
2022,,2021-05-17 06:26:13,Fee for ,Fee,,,,,,,1.45,0.35531969,5388.11
2022,B004,2021-05-17 06:26:14,Bought 0.05 BCH/BTC @ 0.024366,Buy,637c920c,0.05000000,16177.76,808.89,0.00,0.00,0.00,0.40531969,6197.00
2022,B005,2021-05-17 06:26:15,Bought 0.01 BCH/BTC @ 0.024366,Buy,9384809e,0.01000000,16177.76,161.78,0.00,0.00,0.00,0.41531969,6358.78
2022,B006,2021-05-17 15:32:46,Bought 0.20 BCH/BTC @ 0.023961,Buy,303d5014,0.20000000,15655.74,3131.15,0.00,0.00,0.00,0.61531969,9489.93
2022,B007,2021-05-19 04:58:11,Bought 0.49 BCH/BTC @ 0.023858,Buy,11345ce7,0.49000000,13297.66,6515.85,0.00,0.00,0.00,1.10531969,16005.78
2022,B008,2021-05-19 04:58:11,Bought 0.01 BCH/BTC @ 0.023858,Buy,b6e23115,0.01000000,13297.66,132.98,0.00,0.00,0.00,1.11531969,16138.76
2022,B009,2021-05-19 11:30:51,Bought 0.04 BCH/BTC @ 0.0225,Buy,5f22e3be,0.04000000,12430.00,497.20,0.00,0.00,0.00,1.15531969,16635.96
2025,S000,2024-12-04 20:27:22,"Sold 0.055 BCH/ZAR @ 10,152",Sell,385e07fc,-0.01531969,6527.55,100.00,155.53,55.53,0.00,1.14000000,16535.96
2025,S000,2024-12-04 20:27:22,"Sold 0.055 BCH/ZAR @ 10,152",Sell,4ce655d0,-0.03968031,15116.14,599.81,402.83,-196.98,0.00,1.10031969,15936.15
2025,,2024-12-04 20:27:22,"Fee for Sold 0.055 BCH/ZAR @ 10,152",Fee,,,,,,,2.90,1.10031969,15936.15
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,4ce655d0,-0.16031969,15116.14,2423.42,1627.56,-795.85,0.00,0.94000000,13512.73
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,219e7348,-0.05000000,16177.76,808.89,507.60,-301.29,0.00,0.89000000,12703.84
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,79b0988e,-0.09000000,16177.76,1456.00,913.68,-542.32,0.00,0.80000000,11247.85
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,637c920c,-0.05000000,16177.76,808.89,507.60,-301.29,0.00,0.75000000,10438.96
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,9384809e,-0.01000000,16177.76,161.78,101.52,-60.26,0.00,0.74000000,10277.18
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,303d5014,-0.20000000,15655.74,3131.15,2030.40,-1100.75,0.00,0.54000000,7146.03
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,11345ce7,-0.49000000,13297.66,6515.85,4974.48,-1541.38,0.00,0.05000000,630.18
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,b6e23115,-0.01000000,13297.66,132.98,101.52,-31.46,0.00,0.04000000,497.20
2025,S001,2024-12-04 20:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",Sell,5f22e3be,-0.03388031,12430.00,421.13,343.95,-77.18,0.00,0.00611969,76.07
2025,,2024-12-04 20:46:30,"Fee for Sold 1.0942 BCH/ZAR @ 10,152",Fee,,,,,,,34.28,0.00611969,76.07
