Transactions for FY,2021
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-01-14 07:11:16,XBT,"Sold 0.0025 BTC/ZAR @ 600,000",S000,c1d43d7a,-0.00183333,545455.54,1000.00,1100.00,100.00,0.00
2021-01-14 07:11:16,XBT,"Sold 0.0025 BTC/ZAR @ 600,000",S000,f789f9f9,-0.00066667,550538.52,367.03,400.00,32.97,0.00
2021-01-14 14:17:50,XBT,"Sold 0.002032 BTC/ZAR @ 615,000",S001,f789f9f9,-0.00203200,550538.52,1118.69,1249.68,130.99,0.00
2021-01-25 04:01:52,XBT,"Sold 0.008571 BTC/ZAR @ 525,000",S002,f789f9f9,-0.00275054,550538.52,1514.28,1444.03,-70.25,0.00
2021-01-25 04:01:52,XBT,"Sold 0.008571 BTC/ZAR @ 525,000",S002,e97af95a,-0.00200000,500000.00,1000.00,1050.00,50.00,0.00
2021-01-25 04:01:52,XBT,"Sold 0.008571 BTC/ZAR @ 525,000",S002,4a781f35,-0.00062500,480000.00,300.00,328.12,28.12,0.00
2021-01-25 04:01:52,XBT,"Sold 0.008571 BTC/ZAR @ 525,000",S002,be33830c,-0.00063800,470000.00,299.86,334.95,35.09,0.00
2021-01-25 04:01:52,XBT,"Sold 0.008571 BTC/ZAR @ 525,000",S002,8d095a36,-0.00086000,465000.00,399.90,451.50,51.60,0.00
2021-01-25 04:01:52,XBT,"Sold 0.008571 BTC/ZAR @ 525,000",S002,7e55cacd,-0.00169746,550000.00,933.60,891.17,-42.44,0.00
2021-01-25 05:33:37,ETH,"Sold 0.040109 ETH/ZAR @ 22,202",S003,df559e87,-0.04010900,18063.16,724.50,890.50,166.00,0.00
2021-01-25 05:33:39,ETH,"Sold 0.040108 ETH/ZAR @ 22,202",S004,df559e87,-0.01137700,18063.16,205.50,252.59,47.09,0.00
2021-01-25 05:33:39,ETH,"Sold 0.040108 ETH/ZAR @ 22,202",S004,e56a81c7,-0.02873100,17369.05,499.03,637.88,138.85,0.00
2021-01-25 05:33:41,ETH,"Sold 0.040108 ETH/ZAR @ 22,202",S005,e56a81c7,-0.02884266,17369.05,500.97,640.36,139.39,0.00
2021-01-25 05:33:41,ETH,"Sold 0.040108 ETH/ZAR @ 22,202",S005,72109b3e,-0.01126534,15899.86,179.12,250.11,70.99,0.00
2021-01-25 05:33:42,ETH,"Sold 0.014797 ETH/ZAR @ 22,202",S006,72109b3e,-0.01479700,15899.86,235.27,328.52,93.25,0.00
2021-01-25 05:43:35,ETH,"Sold 0.151042 ETH/ZAR @ 22,199",S007,72109b3e,-0.03683066,15899.86,585.60,817.60,232.00,0.00
2021-01-25 05:43:35,ETH,"Sold 0.151042 ETH/ZAR @ 22,199",S007,e5a03aa4,-0.06493500,15399.86,999.99,1441.49,441.50,0.00
2021-01-25 05:43:35,ETH,"Sold 0.151042 ETH/ZAR @ 22,199",S007,04ce126a,-0.04927634,14199.94,699.72,1093.89,394.16,0.00
2021-01-25 12:44:08,XBT,"Sold 0.008506 BTC/ZAR @ 529,000",S008,7e55cacd,-0.00284754,550000.00,1566.15,1506.35,-59.80,0.00
2021-01-25 12:44:08,XBT,"Sold 0.008506 BTC/ZAR @ 529,000",S008,d1e5e1e2,-0.00565846,550000.00,3112.15,2993.32,-118.83,0.00
2021-01-25 12:48:33,XBT,"Sold 0.000789 BTC/ZAR @ 539,000",S009,d1e5e1e2,-0.00078900,550000.00,433.95,425.27,-8.68,0.00
2021-01-25 12:48:35,XBT,"Sold 0.007559 BTC/ZAR @ 539,000",S010,d1e5e1e2,-0.00264254,550000.00,1453.40,1424.33,-29.07,0.00
2021-01-25 12:48:35,XBT,"Sold 0.007559 BTC/ZAR @ 539,000",S010,3dc5dc9d,-0.00370300,540000.00,1999.62,1995.92,-3.70,0.00
2021-01-25 12:48:35,XBT,"Sold 0.007559 BTC/ZAR @ 539,000",S010,08555a01,-0.00121346,534998.22,649.20,654.05,4.86,0.00
2021-01-28 04:05:01,LTC,"Sold 0.0918 LTC/ZAR @ 2,017",S011,9b9deab5,-0.09180000,2325.77,213.51,185.16,-28.35,0.00
2021-01-28 04:05:01,LTC,"Sold 0.4105 LTC/ZAR @ 2,017",S012,9b9deab5,-0.33816543,2325.77,786.49,682.07,-104.42,0.00
2021-01-28 04:05:01,LTC,"Sold 0.4105 LTC/ZAR @ 2,017",S012,29b3ee66,-0.07233457,1980.00,143.22,145.90,2.67,0.00
2021-01-28 04:05:03,LTC,"Sold 0.4105 LTC/ZAR @ 2,017",S013,29b3ee66,-0.41050000,1980.00,812.79,827.97,15.18,0.00
2021-01-28 04:05:04,LTC,"Sold 0.4105 LTC/ZAR @ 2,017",S014,29b3ee66,-0.41050000,1980.00,812.79,827.97,15.18,0.00
