Transactions for FY,2025
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2024-07-04 02:00:55,XRP,Trading fee,,,,,,,,12.82
2024-11-18 10:13:40,XRP,Sold 250.00 XRP/ZAR @ 20.76,S614,9d68e351,-21.00000000,8.83,185.43,435.96,250.53,0.00
2024-11-18 10:13:40,XRP,Sold 250.00 XRP/ZAR @ 20.76,S614,0fbacaac,-229.00000000,8.51,1948.79,4754.04,2805.25,0.00
2024-11-18 10:13:40,XRP,Sold 245.00 XRP/ZAR @ 20.76,S615,0fbacaac,-245.00000000,8.51,2084.95,5086.20,3001.25,0.00
2024-11-18 10:13:40,XRP,Trading fee,,,,,,,,31.10
2024-11-18 10:13:40,XRP,Trading fee,,,,,,,,30.47
2024-11-18 10:14:56,ETH,"Sold 0.123 ETH/ZAR @ 56,736",S616,daece2c1,-0.03523019,27622.96,973.16,1998.82,1025.66,0.00
2024-11-18 10:14:56,ETH,"Sold 0.123 ETH/ZAR @ 56,736",S616,9f230823,-0.08776981,29400.00,2580.43,4979.70,2399.27,0.00
2024-11-18 10:14:56,ETH,Trading fee,,,,,,,,41.98
2024-11-18 10:14:57,ETH,"Sold 0.060047 ETH/ZAR @ 56,727",S617,9f230823,-0.06004700,29400.00,1765.38,3406.28,1640.90,0.00
2024-11-18 10:14:57,ETH,Trading fee,,,,,,,,13.66
2024-11-18 10:14:57,ETH,"Sold 0.016953 ETH/ZAR @ 56,727",S618,9f230823,-0.01695300,29400.00,498.42,961.69,463.27,0.00
2024-11-18 10:14:57,ETH,Trading fee,,,,,,,,3.85
2024-11-21 12:12:38,ETH,"Sold 0.009824 ETH/ZAR @ 58,428",S619,9f230823,-0.00982400,29400.00,288.83,573.99,285.16,0.00
2024-11-21 12:12:38,ETH,Trading fee,,,,,,,,2.29
2024-11-21 12:12:44,ETH,"Sold 0.161712 ETH/ZAR @ 58,428",S620,9f230823,-0.12540619,29400.00,3686.94,7327.23,3640.28,0.00
2024-11-21 12:12:44,ETH,"Sold 0.161712 ETH/ZAR @ 58,428",S620,32ba6fc0,-0.03630581,28400.00,1031.09,2121.27,1090.19,0.00
2024-11-21 12:12:44,ETH,Trading fee,,,,,,,,37.85
2024-11-21 12:12:51,ETH,"Sold 0.028464 ETH/ZAR @ 58,428",S621,32ba6fc0,-0.02846400,28400.00,808.38,1663.09,854.71,0.00
2024-11-21 12:12:51,ETH,Trading fee,,,,,,,,6.66
2024-11-21 18:51:17,ETH,"Sold 0.063665 ETH/ZAR @ 61,061",S622,32ba6fc0,-0.06366500,28400.00,1808.09,3887.44,2079.35,0.00
2024-11-21 18:51:17,ETH,Trading fee,,,,,,,,11.69
2024-11-21 18:53:18,ETH,"Sold 0.00319 ETH/ZAR @ 61,061",S623,32ba6fc0,-0.00319000,28400.00,90.60,194.78,104.18,0.00
2024-11-21 18:53:18,ETH,Trading fee,,,,,,,,0.58
2024-11-21 18:53:38,ETH,"Sold 0.023911 ETH/ZAR @ 61,061",S624,32ba6fc0,-0.02391100,28400.00,679.07,1460.02,780.95,0.00
2024-11-21 18:53:38,ETH,Trading fee,,,,,,,,4.38
2024-11-21 18:54:41,ETH,"Sold 0.080987 ETH/ZAR @ 61,061",S625,32ba6fc0,-0.08098700,28400.00,2300.03,4945.14,2645.11,0.00
2024-11-21 18:54:41,ETH,Trading fee,,,,,,,,14.86
2024-11-21 18:55:08,ETH,"Sold 0.028247 ETH/ZAR @ 61,061",S626,32ba6fc0,-0.02824700,28400.00,802.21,1724.79,922.58,0.00
2024-11-21 18:55:08,ETH,Trading fee,,,,,,,,5.18
2024-11-23 14:27:34,ETH,"Sold 0.20 ETH/ZAR @ 63,500",S627,32ba6fc0,-0.03523019,28400.00,1000.54,2237.12,1236.58,0.00
2024-11-23 14:27:34,ETH,"Sold 0.20 ETH/ZAR @ 63,500",S627,f5cce330,-0.16476981,36498.00,6013.77,10462.88,4449.11,0.00
2024-11-23 14:27:34,ETH,Trading fee,,,,,,,,50.66
2024-11-27 21:50:45,ETH,"Sold 0.202147 ETH/ZAR @ 66,600",S628,f5cce330,-0.03523019,36498.00,1285.83,2346.33,1060.50,0.00
2024-11-27 21:50:45,ETH,"Sold 0.202147 ETH/ZAR @ 66,600",S628,03f8a445,-0.00700000,32942.86,230.60,466.20,235.60,0.00
2024-11-27 21:50:45,ETH,"Sold 0.202147 ETH/ZAR @ 66,600",S628,3a87c193,-0.15991681,32948.96,5269.09,10650.46,5381.37,0.00
2024-11-27 21:50:45,ETH,Trading fee,,,,,,,,40.38
2024-12-04 20:27:22,BCH,"Sold 0.055 BCH/ZAR @ 10,152",S629,385e07fc,-0.01531969,6527.55,100.00,155.53,55.53,0.00
2024-12-04 20:27:22,BCH,"Sold 0.055 BCH/ZAR @ 10,152",S629,4ce655d0,-0.03968031,15116.14,599.81,402.83,-196.98,0.00
2024-12-04 20:27:22,BCH,Trading fee,,,,,,,,2.90
2024-12-04 20:46:30,BCH,"Sold 1.0942 BCH/ZAR @ 10,152",S630,4ce655d0,-0.16031969,15116.14,2423.42,1627.56,-795.85,0.00
2024-12-04 20:46:30,BCH,"Sold 1.0942 BCH/ZAR @ 10,152",S630,219e7348,-0.05000000,16177.76,808.89,507.60,-301.29,0.00
2024-12-04 20:46:30,BCH,"Sold 1.0942 BCH/ZAR @ 10,152",S630,79b0988e,-0.09000000,16177.76,1456.00,913.68,-542.32,0.00
2024-12-04 20:46:30,BCH,"Sold 1.0942 BCH/ZAR @ 10,152",S630,637c920c,-0.05000000,16177.76,808.89,507.60,-301.29,0.00
2024-12-04 20:46:30,BCH,"Sold 1.0942 BCH/ZAR @ 10,152",S630,9384809e,-0.01000000,16177.76,161.78,101.52,-60.26,0.00
2024-12-04 20:46:30,BCH,"Sold 1.0942 BCH/ZAR @ 10,152",S630,303d5014,-0.20000000,15655.74,3131.15,2030.40,-1100.75,0.00
