Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Balance Units,Balance Value (ZAR)
2021,BAA,2021-01-22 00:26:04,Bought 554.00 XRP/ZAR @ 4.00,Buy,0237ff1f,554.00000000,4.00,2216.00,0.00,0.00,554.00000000,2216.00
2021,BAB,2021-01-22 00:26:04,Bought 696.00 XRP/ZAR @ 4.00,Buy,b2bc8fa6,696.00000000,4.00,2784.00,0.00,0.00,1250.00000000,5000.00
2021,SAA,2021-01-30 10:39:18,Sold 3.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-3.00000000,4.00,12.00,14.94,2.94,1247.00000000,4988.00
2021,SAB,2021-01-30 10:39:20,Sold 101.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-101.00000000,4.00,404.00,502.98,98.98,1146.00000000,4584.00
2021,SAC,2021-01-30 10:39:20,Sold 99.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-99.00000000,4.00,396.00,493.02,97.02,1047.00000000,4188.00
2021,SAD,2021-01-30 10:39:22,Sold 20.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-20.00000000,4.00,80.00,99.60,19.60,1027.00000000,4108.00
2021,SAE,2021-01-30 10:39:22,Sold 99.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-99.00000000,4.00,396.00,493.02,97.02,928.00000000,3712.00
2021,SAF,2021-01-30 10:39:26,Sold 104.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-104.00000000,4.00,416.00,517.92,101.92,824.00000000,3296.00
2021,SAG,2021-01-30 10:39:27,Sold 824.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-128.00000000,4.00,512.00,637.44,125.44,696.00000000,2784.00
2021,SAG,2021-01-30 10:39:27,Sold 824.00 XRP/ZAR @ 4.98,Sell,b2bc8fa6,-696.00000000,4.00,2784.00,3466.08,682.08,0E-8,0.00
2021,BAC,2021-02-18 07:05:19,Bought 119.00 XRP/ZAR @ 8.39,Buy,ffd2f4c5,119.00000000,8.39,998.41,0.00,0.00,119.00000000,998.41
2021,SAH,2021-02-18 07:05:19,Trading fee,Sell,ffd2f4c5,-0.11900000,8.39,1.00,0.99,-0.01,118.88100000,997.41
2021,BAD,2021-02-18 08:24:16,Bought 120.00 XRP/ZAR @ 8.28,Buy,97ea152c,120.00000000,8.28,993.60,0.00,0.00,238.88100000,1991.01
2021,BAE,2021-02-18 09:24:20,Bought 122.00 XRP/ZAR @ 8.19,Buy,b2970fe4,122.00000000,8.19,999.18,0.00,0.00,360.88100000,2990.19
2021,BAF,2021-02-18 11:34:44,Bought 123.00 XRP/ZAR @ 8.09,Buy,29935c61,123.00000000,8.09,995.07,0.00,0.00,483.88100000,3985.26
2021,BAG,2021-02-18 11:40:50,Bought 124.00 XRP/ZAR @ 8.01,Buy,876ae495,124.00000000,8.01,993.24,0.00,0.00,607.88100000,4978.50
2021,BAH,2021-02-18 17:41:16,Bought 114.00 XRP/ZAR @ 7.91,Buy,061ba263,114.00000000,7.91,901.74,0.00,0.00,721.88100000,5880.24
2021,BAI,2021-02-19 02:07:22,Bought 12.00 XRP/ZAR @ 7.91,Buy,0be69527,12.00000000,7.91,94.92,0.00,0.00,733.88100000,5975.16
2021,BAJ,2021-02-20 20:12:59,Bought 123.00 XRP/ZAR @ 8.11,Buy,0a6d68d7,123.00000000,8.11,997.53,0.00,0.00,856.88100000,6972.69
2021,BAK,2021-02-20 22:42:02,Bought 128.00 XRP/ZAR @ 7.81,Buy,35e98343,128.00000000,7.81,999.68,0.00,0.00,984.88100000,7972.37
2021,BAL,2021-02-23 05:30:07,Bought 129.00 XRP/ZAR @ 7.75,Buy,ae26b7e7,129.00000000,7.75,999.75,0.00,0.00,1113.88100000,8972.12
2021,BAM,2021-02-23 08:09:04,Bought 130.00 XRP/ZAR @ 7.65,Buy,3a6dc189,130.00000000,7.65,994.50,0.00,0.00,1243.88100000,9966.62
2021,BAN,2021-02-23 08:12:25,Bought 12.00 XRP/ZAR @ 7.55,Buy,1f959b79,12.00000000,7.55,90.60,0.00,0.00,1255.88100000,10057.22
2021,BAO,2021-02-23 08:12:33,Bought 120.00 XRP/ZAR @ 7.55,Buy,bbcc07e2,120.00000000,7.55,906.00,0.00,0.00,1375.88100000,10963.22
2021,BAP,2021-02-23 08:20:22,Bought 134.00 XRP/ZAR @ 7.45,Buy,710d8021,134.00000000,7.45,998.30,0.00,0.00,1509.88100000,11961.52
2021,BAQ,2021-02-23 08:28:11,Bought 137.00 XRP/ZAR @ 7.25,Buy,5eaa36d3,137.00000000,7.25,993.25,0.00,0.00,1646.88100000,12954.77
2021,BAR,2021-02-23 08:30:37,Bought 141.00 XRP/ZAR @ 7.05,Buy,3a5d68b1,141.00000000,7.05,994.05,0.00,0.00,1787.88100000,13948.82
2021,BAS,2021-02-23 08:56:00,Bought 144.00 XRP/ZAR @ 6.90,Buy,9e2ffbaf,144.00000000,6.90,993.60,0.00,0.00,1931.88100000,14942.42
2021,BAT,2021-02-23 08:57:55,Bought 147.00 XRP/ZAR @ 6.78,Buy,bc774af1,147.00000000,6.78,996.66,0.00,0.00,2078.88100000,15939.08
2021,BAU,2021-02-23 08:59:15,Bought 150.00 XRP/ZAR @ 6.64,Buy,9fc50866,150.00000000,6.64,996.00,0.00,0.00,2228.88100000,16935.08
2021,BAV,2021-02-23 09:07:48,Bought 153.00 XRP/ZAR @ 6.51,Buy,3ed47fb9,153.00000000,6.51,996.03,0.00,0.00,2381.88100000,17931.11
2021,BAW,2021-02-23 11:45:00,Bought 158.00 XRP/ZAR @ 6.30,Buy,dbbe613a,158.00000000,6.30,995.40,0.00,0.00,2539.88100000,18926.51
2022,SAI,2021-03-08 09:55:26,Sold 165.00 XRP/ZAR @ 7.26,Sell,ffd2f4c5,-118.88100000,8.39,997.41,863.08,-134.34,2421.00000000,17929.10
2022,SAI,2021-03-08 09:55:26,Sold 165.00 XRP/ZAR @ 7.26,Sell,97ea152c,-46.11900000,8.28,381.87,334.82,-47.04,2374.88100000,17547.23
2022,SAJ,2021-03-08 10:00:36,Sold 170.00 XRP/ZAR @ 7.48,Sell,97ea152c,-73.88100000,8.28,611.73,552.63,-59.10,2301.00000000,16935.50
2022,SAJ,2021-03-08 10:00:36,Sold 170.00 XRP/ZAR @ 7.48,Sell,b2970fe4,-96.11900000,8.19,787.21,718.97,-68.24,2204.88100000,16148.29
2022,BAX,2021-03-19 00:19:26,Bought 600.00 XRP/ZAR @ 7.01,Buy,20797217,600.00000000,7.01,4206.00,0.00,0.00,2804.88100000,20354.29
2022,SAK,2021-03-20 07:32:10,Sold 267.00 XRP/ZAR @ 7.22,Sell,b2970fe4,-25.88100000,8.19,211.97,186.86,-25.10,2779.00000000,20142.32
2022,SAK,2021-03-20 07:32:10,Sold 267.00 XRP/ZAR @ 7.22,Sell,29935c61,-123.00000000,8.09,995.07,888.06,-107.01,2656.00000000,19147.25
2022,SAK,2021-03-20 07:32:10,Sold 267.00 XRP/ZAR @ 7.22,Sell,876ae495,-118.11900000,8.01,946.13,852.82,-93.31,2537.88100000,18201.12
2022,SAL,2021-03-20 07:32:33,Sold 333.00 XRP/ZAR @ 7.22,Sell,876ae495,-5.88100000,8.01,47.11,42.46,-4.65,2532.00000000,18154.01
2022,SAL,2021-03-20 07:32:33,Sold 333.00 XRP/ZAR @ 7.22,Sell,061ba263,-114.00000000,7.91,901.74,823.08,-78.66,2418.00000000,17252.27
2022,SAL,2021-03-20 07:32:33,Sold 333.00 XRP/ZAR @ 7.22,Sell,0be69527,-12.00000000,7.91,94.92,86.64,-8.28,2406.00000000,17157.35
2022,SAL,2021-03-20 07:32:33,Sold 333.00 XRP/ZAR @ 7.22,Sell,0a6d68d7,-123.00000000,8.11,997.53,888.06,-109.47,2283.00000000,16159.82
2022,SAL,2021-03-20 07:32:33,Sold 333.00 XRP/ZAR @ 7.22,Sell,35e98343,-78.11900000,7.81,610.11,564.02,-46.09,2204.88100000,15549.71
2022,SAM,2021-03-20 11:12:02,Sold 300.00 XRP/ZAR @ 7.29,Sell,35e98343,-49.88100000,7.81,389.57,363.63,-25.94,2155.00000000,15160.14
2022,SAM,2021-03-20 11:12:02,Sold 300.00 XRP/ZAR @ 7.29,Sell,ae26b7e7,-129.00000000,7.75,999.75,940.41,-59.34,2026.00000000,14160.39
2022,SAM,2021-03-20 11:12:02,Sold 300.00 XRP/ZAR @ 7.29,Sell,3a6dc189,-121.11900000,7.65,926.56,882.96,-43.60,1904.88100000,13233.83
2022,SAN,2021-03-20 11:12:11,Sold 300.00 XRP/ZAR @ 7.32,Sell,3a6dc189,-8.88100000,7.65,67.94,65.01,-2.93,1896.00000000,13165.89
2022,SAN,2021-03-20 11:12:11,Sold 300.00 XRP/ZAR @ 7.32,Sell,1f959b79,-12.00000000,7.55,90.60,87.84,-2.76,1884.00000000,13075.29
2022,SAN,2021-03-20 11:12:11,Sold 300.00 XRP/ZAR @ 7.32,Sell,bbcc07e2,-120.00000000,7.55,906.00,878.40,-27.60,1764.00000000,12169.29
2022,SAN,2021-03-20 11:12:11,Sold 300.00 XRP/ZAR @ 7.32,Sell,710d8021,-134.00000000,7.45,998.30,980.88,-17.42,1630.00000000,11170.99
2022,SAN,2021-03-20 11:12:11,Sold 300.00 XRP/ZAR @ 7.32,Sell,5eaa36d3,-25.11900000,7.25,182.11,183.87,1.76,1604.88100000,10988.88
2022,SAO,2021-03-20 16:21:05,Sold 196.00 XRP/ZAR @ 7.40,Sell,5eaa36d3,-111.88100000,7.25,811.14,827.92,16.78,1493.00000000,10177.74
2022,SAO,2021-03-20 16:21:05,Sold 196.00 XRP/ZAR @ 7.40,Sell,3a5d68b1,-84.11900000,7.05,593.04,622.48,29.44,1408.88100000,9584.70
2022,SAP,2021-03-20 16:22:24,Sold 2.00 XRP/ZAR @ 7.44,Sell,3a5d68b1,-2.00000000,7.05,14.10,14.88,0.78,1406.88100000,9570.60
2022,SAQ,2021-03-20 16:22:24,Trading fee,Sell,3a5d68b1,-0.00200000,7.05,0.01,0.01,-0.00,1406.87900000,9570.59
2022,SAR,2021-03-20 16:22:24,Sold 74.00 XRP/ZAR @ 7.42,Sell,3a5d68b1,-54.87900000,7.05,386.90,407.20,20.31,1352.00000000,9183.69
2022,SAR,2021-03-20 16:22:24,Sold 74.00 XRP/ZAR @ 7.42,Sell,9e2ffbaf,-19.12100000,6.90,131.93,141.88,9.94,1332.87900000,9051.76
2022,SAS,2021-03-20 16:22:29,Sold 24.00 XRP/ZAR @ 7.42,Sell,9e2ffbaf,-24.00000000,6.90,165.60,178.08,12.48,1308.87900000,8886.16
2022,SAT,2021-03-20 16:23:37,Sold 100.00 XRP/ZAR @ 7.46,Sell,9e2ffbaf,-100.00000000,6.90,690.00,746.00,56.00,1208.87900000,8196.16
2022,SAU,2021-03-20 16:24:26,Sold 300.00 XRP/ZAR @ 7.44,Sell,9e2ffbaf,-0.87900000,6.90,6.07,6.54,0.47,1208.00000000,8190.09
2022,SAU,2021-03-20 16:24:26,Sold 300.00 XRP/ZAR @ 7.44,Sell,bc774af1,-147.00000000,6.78,996.66,1093.68,97.02,1061.00000000,7193.43
2022,SAU,2021-03-20 16:24:26,Sold 300.00 XRP/ZAR @ 7.44,Sell,9fc50866,-150.00000000,6.64,996.00,1116.00,120.00,911.00000000,6197.43
2022,SAU,2021-03-20 16:24:26,Sold 300.00 XRP/ZAR @ 7.44,Sell,3ed47fb9,-2.12100000,6.51,13.81,15.78,1.97,908.87900000,6183.62
2022,SAV,2021-03-20 16:24:26,Trading fee,Sell,3ed47fb9,-0.30000000,6.51,1.95,2.23,0.28,908.57900000,6181.67
2022,SAW,2021-03-20 18:30:15,Sold 100.00 XRP/ZAR @ 7.59,Sell,3ed47fb9,-100.00000000,6.51,651.00,759.00,108.00,808.57900000,5530.67
2022,SAX,2021-03-20 20:41:18,Sold 50.00 XRP/ZAR @ 7.68,Sell,3ed47fb9,-50.00000000,6.51,325.50,384.00,58.50,758.57900000,5205.17
2022,SAY,2021-03-20 20:41:18,Trading fee,Sell,3ed47fb9,-0.05000000,6.51,0.33,0.38,0.05,758.52900000,5204.84
2022,SAZ,2021-03-20 22:19:59,Sold 158.00 XRP/ZAR @ 7.88,Sell,3ed47fb9,-0.52900000,6.51,3.44,4.17,0.72,758.00000000,5201.40
2022,SAZ,2021-03-20 22:19:59,Sold 158.00 XRP/ZAR @ 7.88,Sell,dbbe613a,-157.47100000,6.30,992.07,1240.87,248.80,600.52900000,4209.33
2022,BAY,2021-03-21 09:43:57,Bought 300.00 XRP/ZAR @ 7.64,Buy,404f1824,300.00000000,7.64,2292.00,0.00,0.00,900.52900000,6501.33
2022,BAZ,2021-03-21 11:13:44,Bought 300.00 XRP/ZAR @ 7.41,Buy,d7b3d23f,300.00000000,7.41,2223.00,0.00,0.00,1200.52900000,8724.33
2022,SBA,2021-03-22 10:41:51,Sold 300.00 XRP/ZAR @ 8.10,Sell,dbbe613a,-0.52900000,6.30,3.33,4.28,0.95,1200.00000000,8721.00
2022,SBA,2021-03-22 10:41:51,Sold 300.00 XRP/ZAR @ 8.10,Sell,20797217,-299.47100000,7.01,2099.29,2425.72,326.42,900.52900000,6621.71
2022,SBB,2021-03-22 16:25:14,Sold 300.00 XRP/ZAR @ 8.64,Sell,20797217,-300.00000000,7.01,2103.00,2592.00,489.00,600.52900000,4518.71
2022,BBA,2021-03-22 20:44:43,Bought 4.00 XRP/ZAR @ 8.30,Buy,9781889f,4.00000000,8.30,33.20,0.00,0.00,604.52900000,4551.91
2022,BBB,2021-03-22 20:44:43,Bought 47.00 XRP/ZAR @ 8.30,Buy,928ee10a,47.00000000,8.30,390.10,0.00,0.00,651.52900000,4942.01
2022,BBC,2021-03-22 20:45:11,Bought 249.00 XRP/ZAR @ 8.30,Buy,463e60d5,249.00000000,8.30,2066.70,0.00,0.00,900.52900000,7008.71
2022,SBC,2021-03-23 08:44:40,Sold 300.00 XRP/ZAR @ 8.69,Sell,20797217,-0.52900000,7.01,3.71,4.60,0.89,900.00000000,7005.00
2022,SBC,2021-03-23 08:44:40,Sold 300.00 XRP/ZAR @ 8.69,Sell,404f1824,-299.47100000,7.64,2287.96,2602.40,314.44,600.52900000,4717.04
2022,BBD,2021-03-23 16:01:47,Bought 300.00 XRP/ZAR @ 8.42,Buy,7bf6b335,300.00000000,8.42,2526.00,0.00,0.00,900.52900000,7243.04
2022,BBE,2021-03-23 16:09:27,Bought 200.00 XRP/ZAR @ 8.32,Buy,d7dcbf1f,200.00000000,8.32,1664.00,0.00,0.00,1100.52900000,8907.04
2022,BBF,2021-03-23 19:25:31,Bought 200.00 XRP/ZAR @ 8.22,Buy,802dd545,200.00000000,8.22,1644.00,0.00,0.00,1300.52900000,10551.04
2022,BBG,2021-03-23 20:57:53,Bought 200.00 XRP/ZAR @ 8.11,Buy,fbf1e614,200.00000000,8.11,1622.00,0.00,0.00,1500.52900000,12173.04
2022,SBD,2021-03-23 22:02:10,Sold 200.00 XRP/ZAR @ 8.35,Sell,404f1824,-0.52900000,7.64,4.04,4.42,0.38,1500.00000000,12169.00
2022,SBD,2021-03-23 22:02:10,Sold 200.00 XRP/ZAR @ 8.35,Sell,d7b3d23f,-199.47100000,7.41,1478.08,1665.58,187.50,1300.52900000,10690.92
2022,BBH,2021-03-24 06:31:48,Bought 200.00 XRP/ZAR @ 8.11,Buy,7b4a0397,200.00000000,8.11,1622.00,0.00,0.00,1500.52900000,12312.92
2022,BBI,2021-03-24 07:04:29,Bought 200.00 XRP/ZAR @ 8.01,Buy,c14dd228,200.00000000,8.01,1602.00,0.00,0.00,1700.52900000,13914.92
2022,SBE,2021-03-24 08:08:34,Sold 200.00 XRP/ZAR @ 8.25,Sell,d7b3d23f,-100.52900000,7.41,744.92,829.36,84.44,1600.00000000,13170.00
2022,SBE,2021-03-24 08:08:34,Sold 200.00 XRP/ZAR @ 8.25,Sell,9781889f,-4.00000000,8.30,33.20,33.00,-0.20,1596.00000000,13136.80
2022,SBE,2021-03-24 08:08:34,Sold 200.00 XRP/ZAR @ 8.25,Sell,928ee10a,-47.00000000,8.30,390.10,387.75,-2.35,1549.00000000,12746.70
2022,SBE,2021-03-24 08:08:34,Sold 200.00 XRP/ZAR @ 8.25,Sell,463e60d5,-48.47100000,8.30,402.31,399.89,-2.42,1500.52900000,12344.39
2022,SBF,2021-03-24 08:26:28,Sold 200.00 XRP/ZAR @ 8.35,Sell,463e60d5,-200.00000000,8.30,1660.00,1670.00,10.00,1300.52900000,10684.39
2022,SBG,2021-03-24 13:07:58,Sold 200.00 XRP/ZAR @ 8.46,Sell,463e60d5,-0.52900000,8.30,4.39,4.48,0.08,1300.00000000,10680.00
2022,SBG,2021-03-24 13:07:58,Sold 200.00 XRP/ZAR @ 8.46,Sell,7bf6b335,-199.47100000,8.42,1679.55,1687.52,7.98,1100.52900000,9000.45
2022,BBJ,2021-03-24 19:10:30,Bought 200.00 XRP/ZAR @ 8.20,Buy,da703070,200.00000000,8.20,1640.00,0.00,0.00,1300.52900000,10640.45
2022,BBK,2021-03-24 19:28:30,Bought 200.00 XRP/ZAR @ 8.10,Buy,c769497d,200.00000000,8.10,1620.00,0.00,0.00,1500.52900000,12260.45
2022,BBL,2021-03-24 19:40:39,Bought 180.00 XRP/ZAR @ 8.01,Buy,eab8ca27,180.00000000,8.01,1441.80,0.00,0.00,1680.52900000,13702.25
2022,BBM,2021-03-24 19:40:51,Bought 20.00 XRP/ZAR @ 8.01,Buy,16a39c65,20.00000000,8.01,160.20,0.00,0.00,1700.52900000,13862.45
2022,BBN,2021-03-24 19:44:38,Bought 300.00 XRP/ZAR @ 7.85,Buy,819c2130,300.00000000,7.85,2355.00,0.00,0.00,2000.52900000,16217.45
2022,SBH,2021-03-24 21:08:22,Sold 300.00 XRP/ZAR @ 8.09,Sell,7bf6b335,-100.52900000,8.42,846.45,813.28,-33.17,1900.00000000,15371.00
2022,SBH,2021-03-24 21:08:22,Sold 300.00 XRP/ZAR @ 8.09,Sell,d7dcbf1f,-199.47100000,8.32,1659.60,1613.72,-45.88,1700.52900000,13711.40
2022,SBI,2021-03-24 21:08:22,Trading fee,Sell,d7dcbf1f,-0.30000000,8.32,2.50,2.42,-0.08,1700.22900000,13708.91
2022,BBO,2021-03-25 01:59:33,Bought 300.00 XRP/ZAR @ 7.31,Buy,47f4bb4e,300.00000000,7.31,2193.00,0.00,0.00,2000.22900000,15901.91
2022,BBP,2021-03-25 02:00:59,Bought 300.00 XRP/ZAR @ 7.24,Buy,1aad41e4,300.00000000,7.24,2172.00,0.00,0.00,2300.22900000,18073.91
2022,SBJ,2021-03-25 05:58:03,Sold 300.00 XRP/ZAR @ 7.63,Sell,d7dcbf1f,-0.22900000,8.32,1.91,1.75,-0.16,2300.00000000,18072.00
2022,SBJ,2021-03-25 05:58:03,Sold 300.00 XRP/ZAR @ 7.63,Sell,802dd545,-200.00000000,8.22,1644.00,1526.00,-118.00,2100.00000000,16428.00
2022,SBJ,2021-03-25 05:58:03,Sold 300.00 XRP/ZAR @ 7.63,Sell,fbf1e614,-99.77100000,8.11,809.14,761.25,-47.89,2000.22900000,15618.86
2022,SBK,2021-03-25 05:58:03,Trading fee,Sell,fbf1e614,-0.30000000,8.11,2.43,2.28,-0.15,1999.92900000,15616.42
2022,SBL,2021-03-25 09:09:52,Sold 300.00 XRP/ZAR @ 7.82,Sell,fbf1e614,-99.92900000,8.11,810.42,781.44,-28.98,1900.00000000,14806.00
2022,SBL,2021-03-25 09:09:52,Sold 300.00 XRP/ZAR @ 7.82,Sell,7b4a0397,-200.00000000,8.11,1622.00,1564.00,-58.00,1700.00000000,13184.00
2022,SBL,2021-03-25 09:09:52,Sold 300.00 XRP/ZAR @ 7.82,Sell,c14dd228,-0.07100000,8.01,0.57,0.56,-0.01,1699.92900000,13183.43
2022,SBM,2021-03-25 09:09:52,Trading fee,Sell,c14dd228,-0.30000000,8.01,2.40,2.34,-0.06,1699.62900000,13181.03
2022,SBN,2021-03-26 10:44:41,Sold 17.00 XRP/ZAR @ 8.25,Sell,c14dd228,-17.00000000,8.01,136.17,140.25,4.08,1682.62900000,13044.86
2022,SBO,2021-03-26 10:44:42,Sold 183.00 XRP/ZAR @ 8.25,Sell,c14dd228,-182.62900000,8.01,1462.86,1506.69,43.83,1500.00000000,11582.00
2022,SBO,2021-03-26 10:44:42,Sold 183.00 XRP/ZAR @ 8.25,Sell,da703070,-0.37100000,8.20,3.04,3.06,0.02,1499.62900000,11578.96
2022,SBP,2021-03-26 10:52:19,Sold 200.00 XRP/ZAR @ 8.35,Sell,da703070,-199.62900000,8.20,1636.96,1666.90,29.94,1300.00000000,9942.00
2022,SBP,2021-03-26 10:52:19,Sold 200.00 XRP/ZAR @ 8.35,Sell,c769497d,-0.37100000,8.10,3.01,3.10,0.09,1299.62900000,9938.99
2022,SBQ,2021-03-26 11:14:33,Sold 200.00 XRP/ZAR @ 8.44,Sell,c769497d,-199.62900000,8.10,1616.99,1684.87,67.87,1100.00000000,8322.00
2022,SBQ,2021-03-26 11:14:33,Sold 200.00 XRP/ZAR @ 8.44,Sell,eab8ca27,-0.37100000,8.01,2.97,3.13,0.16,1099.62900000,8319.03
2022,SBR,2021-03-26 11:32:18,Sold 400.00 XRP/ZAR @ 8.50,Sell,eab8ca27,-179.62900000,8.01,1438.83,1526.85,88.02,920.00000000,6880.20
2022,SBR,2021-03-26 11:32:18,Sold 400.00 XRP/ZAR @ 8.50,Sell,16a39c65,-20.00000000,8.01,160.20,170.00,9.80,900.00000000,6720.00
2022,SBR,2021-03-26 11:32:18,Sold 400.00 XRP/ZAR @ 8.50,Sell,819c2130,-200.37100000,7.85,1572.91,1703.15,130.24,699.62900000,5147.09
2022,SBS,2021-03-26 11:34:34,Sold 200.00 XRP/ZAR @ 8.56,Sell,819c2130,-99.62900000,7.85,782.09,852.82,70.74,600.00000000,4365.00
2022,SBS,2021-03-26 11:34:34,Sold 200.00 XRP/ZAR @ 8.56,Sell,47f4bb4e,-100.37100000,7.31,733.71,859.18,125.46,499.62900000,3631.29
2022,BBQ,2021-03-27 12:10:02,Bought 200.00 XRP/ZAR @ 8.30,Buy,33157b2d,200.00000000,8.30,1660.00,0.00,0.00,699.62900000,5291.29
2022,BBR,2021-03-27 12:10:56,Bought 72.00 XRP/ZAR @ 8.24,Buy,b61988d5,72.00000000,8.24,593.28,0.00,0.00,771.62900000,5884.57
2022,BBS,2021-03-27 12:10:57,Bought 82.00 XRP/ZAR @ 8.24,Buy,56a6cd56,82.00000000,8.24,675.68,0.00,0.00,853.62900000,6560.25
2022,BBT,2021-03-27 12:11:11,Bought 246.00 XRP/ZAR @ 8.24,Buy,54b400ba,246.00000000,8.24,2027.04,0.00,0.00,1099.62900000,8587.29
2022,BBU,2021-03-28 12:01:01,Bought 200.00 XRP/ZAR @ 8.11,Buy,a118ac3d,200.00000000,8.11,1622.00,0.00,0.00,1299.62900000,10209.29
2022,SBT,2021-03-29 02:15:08,Sold 64.00 XRP/ZAR @ 8.35,Sell,47f4bb4e,-64.00000000,7.31,467.84,534.40,66.56,1235.62900000,9741.45
2022,SBU,2021-03-29 02:15:45,Sold 136.00 XRP/ZAR @ 8.35,Sell,47f4bb4e,-135.62900000,7.31,991.45,1132.50,141.05,1100.00000000,8750.00
2022,SBU,2021-03-29 02:15:45,Sold 136.00 XRP/ZAR @ 8.35,Sell,1aad41e4,-0.37100000,7.24,2.69,3.10,0.41,1099.62900000,8747.31
2022,SBV,2021-03-30 04:11:51,Sold 400.00 XRP/ZAR @ 8.49,Sell,1aad41e4,-299.62900000,7.24,2169.31,2543.85,374.54,800.00000000,6578.00
2022,SBV,2021-03-30 04:11:51,Sold 400.00 XRP/ZAR @ 8.49,Sell,33157b2d,-100.37100000,8.30,833.08,852.15,19.07,699.62900000,5744.92
2022,SBW,2021-03-30 04:56:04,Sold 200.00 XRP/ZAR @ 8.59,Sell,33157b2d,-99.62900000,8.30,826.92,855.81,28.89,600.00000000,4918.00
2022,SBW,2021-03-30 04:56:04,Sold 200.00 XRP/ZAR @ 8.59,Sell,b61988d5,-72.00000000,8.24,593.28,618.48,25.20,528.00000000,4324.72
2022,SBW,2021-03-30 04:56:04,Sold 200.00 XRP/ZAR @ 8.59,Sell,56a6cd56,-28.37100000,8.24,233.78,243.71,9.93,499.62900000,4090.94
2022,BBV,2021-03-31 03:01:59,Bought 300.00 XRP/ZAR @ 8.33,Buy,c396bfc7,300.00000000,8.33,2499.00,0.00,0.00,799.62900000,6589.94
2022,BBW,2021-03-31 03:02:11,Bought 400.00 XRP/ZAR @ 8.23,Buy,d0b477cb,400.00000000,8.23,3292.00,0.00,0.00,1199.62900000,9881.94
2022,SBX,2021-03-31 07:07:53,Sold 38.00 XRP/ZAR @ 8.59,Sell,56a6cd56,-38.00000000,8.24,313.12,326.42,13.30,1161.62900000,9568.82
2022,SBY,2021-03-31 07:08:20,Sold 11.00 XRP/ZAR @ 8.59,Sell,56a6cd56,-11.00000000,8.24,90.64,94.49,3.85,1150.62900000,9478.18
2022,SBZ,2021-03-31 07:08:41,Sold 29.00 XRP/ZAR @ 8.59,Sell,56a6cd56,-4.62900000,8.24,38.14,39.76,1.62,1146.00000000,9440.04
2022,SBZ,2021-03-31 07:08:41,Sold 29.00 XRP/ZAR @ 8.59,Sell,54b400ba,-24.37100000,8.24,200.82,209.35,8.53,1121.62900000,9239.22
2022,SCA,2021-03-31 07:08:50,Sold 322.00 XRP/ZAR @ 8.59,Sell,54b400ba,-221.62900000,8.24,1826.22,1903.79,77.57,900.00000000,7413.00
2022,SCA,2021-03-31 07:08:50,Sold 322.00 XRP/ZAR @ 8.59,Sell,a118ac3d,-100.37100000,8.11,814.01,862.19,48.18,799.62900000,6598.99
2022,BBX,2021-03-31 08:02:17,Bought 500.00 XRP/ZAR @ 8.33,Buy,e5e13f92,500.00000000,8.33,4165.00,0.00,0.00,1299.62900000,10763.99
2022,SCB,2021-04-01 01:04:38,Sold 228.00 XRP/ZAR @ 8.58,Sell,a118ac3d,-99.62900000,8.11,807.99,854.82,46.83,1200.00000000,9956.00
2022,SCB,2021-04-01 01:04:38,Sold 228.00 XRP/ZAR @ 8.58,Sell,c396bfc7,-128.37100000,8.33,1069.33,1101.42,32.09,1071.62900000,8886.67
2022,SCC,2021-04-01 01:04:38,Sold 272.00 XRP/ZAR @ 8.58,Sell,c396bfc7,-171.62900000,8.33,1429.67,1472.58,42.91,900.00000000,7457.00
2022,SCC,2021-04-01 01:04:38,Sold 272.00 XRP/ZAR @ 8.58,Sell,d0b477cb,-100.37100000,8.23,826.05,861.18,35.13,799.62900000,6630.95
2022,SCD,2021-04-01 01:54:09,Sold 124.00 XRP/ZAR @ 8.69,Sell,d0b477cb,-124.00000000,8.23,1020.52,1077.56,57.04,675.62900000,5610.43
2022,SCE,2021-04-01 01:54:09,Sold 176.00 XRP/ZAR @ 8.69,Sell,d0b477cb,-175.62900000,8.23,1445.43,1526.22,80.79,500.00000000,4165.00
2022,SCE,2021-04-01 01:54:09,Sold 176.00 XRP/ZAR @ 8.69,Sell,e5e13f92,-0.37100000,8.33,3.09,3.22,0.13,499.62900000,4161.91
2022,BBY,2021-04-01 12:06:54,Bought 300.00 XRP/ZAR @ 8.42,Buy,c8bf7460,300.00000000,8.42,2526.00,0.00,0.00,799.62900000,6687.91
2022,SCF,2021-04-02 07:37:50,Sold 162.00 XRP/ZAR @ 8.68,Sell,e5e13f92,-162.00000000,8.33,1349.46,1406.16,56.70,637.62900000,5338.45
